trade_date,ts_code,open,high,low,close,vol,trend_regime,vol_regime,state,y,hmm_state,hmm_state_label,hmm_p0,hmm_p1,hmm_p2,hmm_p3,hmm_p4
2021-03-05,601995.SH,53.19,55.8,53.01,55.12,15044846,T3,V3,S2,0,1.0,S5,4.105717932434831e-11,0.9999999999590727,7.795687051180628e-18,5.457171831612115e-20,6.052265807649952e-17
2021-03-08,601995.SH,55.3,55.6,50.28,51.28,19915057,T3,V4,S2,0,1.0,S5,7.065748607586183e-22,1.0,2.0950281555866648e-19,2.749124050985919e-23,7.093960467010824e-18
2021-03-09,601995.SH,51.0,51.18,47.9,47.99,23911203,T3,V3,S2,0,1.0,S5,2.012173911587608e-34,1.0,1.0840381895312782e-21,9.468498119538876e-44,1.696682648810556e-22
2021-03-10,601995.SH,48.69,49.04,47.97,48.04,13411122,T3,V3,S2,0,1.0,S5,1.74813076726589e-38,1.0,5.092624161899653e-29,4.2960691447275737e-63,1.6662341024123566e-34
2021-03-11,601995.SH,47.81,49.91,47.79,49.15,17247114,T3,V4,S2,0,1.0,S5,2.952151291850093e-48,1.0,6.933445865492189e-36,8.719955933089116e-67,3.293285002339602e-48
2021-03-12,601995.SH,49.09,50.62,48.02,49.52,21523569,T3,V4,S2,0,1.0,S5,1.0687837912694911e-48,1.0,1.831170765922026e-42,3.0333194446881314e-61,5.166619300684807e-56
2021-03-15,601995.SH,48.25,48.78,47.01,47.1,14816202,T3,V4,S2,1,1.0,S5,2.068569082522971e-56,1.0,5.535345670472104e-47,1.1300155529963354e-63,2.9756377207329728e-62
2021-03-16,601995.SH,47.43,48.22,47.12,47.62,10656098,T3,V3,S2,1,1.0,S5,3.3934695866806915e-51,1.0,5.174873436329608e-56,1.2792000306578109e-70,6.223556756371958e-73
2021-03-17,601995.SH,47.24,48.21,47.21,47.8,10785392,T3,V4,S2,1,1.0,S5,2.270564991953203e-52,1.0,2.7247192785011652e-65,6.3101756957093815e-65,4.2230744203944e-83
2021-03-18,601995.SH,47.9,49.8,47.9,48.95,20666327,T3,V4,S2,1,1.0,S5,1.147160749656174e-51,1.0,6.310175704762766e-65,6.914264113897513e-56,1.4247929216998591e-83
2021-03-19,601995.SH,48.05,48.86,48.02,48.7,12998799,T3,V3,S2,1,1.0,S5,2.318982419068677e-53,1.0,6.914264113894369e-56,2.710277149373409e-44,4.223860511465245e-74
2021-03-22,601995.SH,49.38,50.88,48.77,50.46,21364691,UNK,V4,S5,1,1.0,S5,1.0890636540671386e-54,1.0,2.7102771493758736e-44,5.291829699685615e-37,5.155674234967436e-69
2021-03-23,601995.SH,50.46,51.48,49.15,50.67,21397926,UNK,V3,S5,1,1.0,S5,6.736635395128504e-59,1.0,5.291829699697646e-37,2.373898737319636e-26,1.2150535999632287e-63
