trade_date,ts_code,open,high,low,close,vol
2023-06-15,001330.SZ,9.87,9.94,9.75,9.79,106664.37
2023-06-16,001330.SZ,9.77,9.89,9.66,9.82,100615.79
2023-06-19,001330.SZ,9.83,9.84,9.66,9.71,106464.63
2023-06-20,001330.SZ,9.7,9.89,9.63,9.65,94965.0
2023-06-21,001330.SZ,9.62,9.75,9.25,9.28,144463.63
2023-06-26,001330.SZ,9.28,9.34,9.02,9.04,83804.28
2023-06-27,001330.SZ,9.08,9.45,9.04,9.3,106684.02
2023-06-28,001330.SZ,9.3,9.3,8.96,9.11,97304.98
2023-06-29,001330.SZ,9.08,9.14,9.03,9.09,66132.0
2023-06-30,001330.SZ,9.14,9.38,9.05,9.28,80355.2
2023-07-03,001330.SZ,9.33,9.38,9.2,9.32,68217.0
2023-07-04,001330.SZ,9.26,9.47,9.25,9.31,66336.45
2023-07-05,001330.SZ,9.28,9.28,9.1,9.12,71465.65
2023-07-06,001330.SZ,9.13,9.21,9.08,9.12,48682.96
2023-07-07,001330.SZ,9.11,9.13,8.96,9.08,82624.4
2023-07-10,001330.SZ,9.11,9.41,9.09,9.3,139175.83
2023-07-11,001330.SZ,9.28,9.28,9.13,9.23,74559.97
2023-07-12,001330.SZ,9.22,9.32,9.08,9.12,70757.0
2023-07-13,001330.SZ,9.15,9.34,9.09,9.28,109707.3
2023-07-14,001330.SZ,9.25,9.31,9.18,9.2,63962.78
2023-07-17,001330.SZ,9.01,9.35,8.9,9.17,90463.41
2023-07-18,001330.SZ,9.14,9.14,9.04,9.06,48621.7
2023-07-19,001330.SZ,9.06,9.13,9.04,9.07,31138.64
2023-07-20,001330.SZ,9.1,9.28,9.04,9.08,81189.28
2023-07-21,001330.SZ,9.04,9.15,8.98,9.06,62921.74
2023-07-24,001330.SZ,9.04,9.18,8.95,9.05,51587.92
2023-07-25,001330.SZ,9.08,9.16,9.06,9.1,89767.01
2023-07-26,001330.SZ,9.09,9.18,9.02,9.06,72762.93
2023-07-27,001330.SZ,9.03,9.06,8.97,8.99,64434.64
2023-07-28,001330.SZ,9.0,9.01,8.92,9.0,54857.32
2023-07-31,001330.SZ,9.02,9.2,9.01,9.12,145041.92
2023-08-01,001330.SZ,9.1,9.1,8.98,9.0,87892.9
2023-08-02,001330.SZ,9.0,9.03,8.94,8.97,56656.57
2023-08-03,001330.SZ,8.98,8.99,8.92,8.96,52960.63
2023-08-04,001330.SZ,8.97,9.0,8.91,8.93,71822.13
2023-08-07,001330.SZ,8.95,9.11,8.92,9.03,147965.83
2023-08-08,001330.SZ,8.99,9.38,8.94,9.21,225260.64
2023-08-09,001330.SZ,9.06,9.24,8.96,9.01,153860.35
2023-08-10,001330.SZ,8.97,9.01,8.93,8.96,69694.29
2023-08-11,001330.SZ,8.97,9.01,8.83,8.85,76113.0
2023-08-14,001330.SZ,8.74,8.77,8.61,8.75,68377.92
2023-08-15,001330.SZ,8.68,8.77,8.39,8.44,110614.0
2023-08-16,001330.SZ,8.45,8.5,8.27,8.3,75650.0
2023-08-17,001330.SZ,8.27,8.35,8.14,8.33,68361.95
2023-08-18,001330.SZ,8.33,8.5,8.28,8.29,57473.79
2023-08-21,001330.SZ,8.29,8.42,8.27,8.33,40598.0
2023-08-22,001330.SZ,8.35,8.41,8.1,8.32,64930.54
2023-08-23,001330.SZ,8.32,8.33,8.13,8.13,34945.0
2023-08-24,001330.SZ,8.16,8.34,8.13,8.25,84838.93
2023-08-25,001330.SZ,8.2,8.2,7.9,7.92,111226.37
2023-08-28,001330.SZ,8.27,8.3,7.97,8.01,88542.46
2023-08-29,001330.SZ,8.02,8.24,7.96,8.21,93958.0
2023-08-30,001330.SZ,8.2,8.24,8.07,8.18,73352.47
2023-08-31,001330.SZ,8.2,8.24,8.07,8.1,53288.0
2023-09-01,001330.SZ,8.12,8.16,8.05,8.1,37299.63
2023-09-04,001330.SZ,8.14,8.25,8.09,8.24,94357.58
2023-09-05,001330.SZ,8.23,8.23,8.1,8.12,50023.13
2023-09-06,001330.SZ,8.1,8.15,8.04,8.13,43008.08
2023-09-07,001330.SZ,8.12,8.17,7.98,8.03,58754.21
2023-09-08,001330.SZ,8.03,8.03,7.92,8.0,32861.72
2023-09-11,001330.SZ,8.01,8.14,7.99,8.09,40703.62
2023-09-12,001330.SZ,8.09,8.15,8.03,8.06,30039.64
2023-09-13,001330.SZ,8.05,8.08,7.93,7.97,41819.64
2023-09-14,001330.SZ,7.97,7.99,7.81,7.85,55752.0
2023-09-15,001330.SZ,7.88,7.95,7.83,7.9,34328.0
2023-09-18,001330.SZ,7.89,8.08,7.81,8.06,66316.38
